used,len_groups,len_unique,new_size,entropy_full,entropy_cut
"['gender', 'dob', 'state', 'employment', 'marital_status', 'disease']",1983,1966,34,10.9488,4.0875
"['dob', 'state', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1983,1966,34,10.9488,4.0875
"['gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'disease']",1983,1966,34,10.9488,4.0875
"['dob', 'state', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1983,1966,34,10.9488,4.0875
"['dob', 'state', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1983,1966,34,10.9488,4.0875
"['dob', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1983,1966,34,10.9488,4.0875
"['gender', 'dob', 'state', 'number_vehicles', 'disease']",1983,1967,33,10.9484,3.9912
"['education', 'dob', 'state', 'number_vehicles', 'disease']",1984,1968,32,10.9498,4.0
"['gender', 'dob', 'state', 'commute_time', 'accommodation', 'disease']",1984,1968,32,10.9498,4.0
"['gender', 'dob', 'state', 'employment', 'commute_time', 'accommodation', 'disease']",1984,1968,32,10.9498,4.0
"['education', 'dob', 'state', 'marital_status', 'disease']",1985,1970,30,10.9508,3.9069
"['education', 'dob', 'state', 'children', 'marital_status', 'disease']",1985,1970,30,10.9508,3.9069
"['gender', 'dob', 'state', 'marital_status', 'commute_time', 'disease']",1985,1970,30,10.9508,3.9069
"['gender', 'dob', 'state', 'number_vehicles', 'accommodation', 'disease']",1985,1970,30,10.9508,3.9069
"['dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'disease']",1985,1970,30,10.9508,3.9069
"['gender', 'dob', 'state', 'children', 'marital_status', 'commute_time', 'disease']",1985,1970,30,10.9508,3.9069
"['gender', 'dob', 'state', 'children', 'commute_time', 'accommodation', 'disease']",1985,1970,30,10.9508,3.9069
"['dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1985,1970,30,10.9508,3.9069
"['gender', 'dob', 'state', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",1985,1970,30,10.9508,3.9069
"['education', 'dob', 'state', 'children', 'number_vehicles', 'disease']",1986,1972,28,10.9518,3.8074
"['gender', 'dob', 'state', 'employment', 'marital_status', 'commute_time', 'disease']",1986,1972,28,10.9518,3.8074
"['dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1986,1972,28,10.9518,3.8074
"['gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",1986,1972,28,10.9518,3.8074
"['dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1986,1972,28,10.9518,3.8074
"['gender', 'dob', 'state', 'children', 'number_vehicles', 'disease']",1986,1973,27,10.9514,3.6899
"['dob', 'state', 'marital_status', 'commute_time', 'accommodation', 'disease']",1986,1973,27,10.9514,3.6899
"['dob', 'state', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",1986,1973,27,10.9514,3.6899
"['dob', 'state', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1986,1973,27,10.9514,3.6899
"['dob', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1986,1973,27,10.9514,3.6899
"['education', 'dob', 'state', 'employment', 'accommodation', 'disease']",1987,1974,26,10.9528,3.7004
"['education', 'dob', 'state', 'number_vehicles', 'accommodation', 'disease']",1987,1974,26,10.9528,3.7004
"['gender', 'dob', 'state', 'marital_status', 'accommodation', 'disease']",1987,1974,26,10.9528,3.7004
"['gender', 'dob', 'state', 'children', 'marital_status', 'accommodation', 'disease']",1987,1974,26,10.9528,3.7004
"['education', 'dob', 'state', 'commute_time', 'disease']",1988,1976,24,10.9538,3.585
"['education', 'dob', 'state', 'employment', 'commute_time', 'disease']",1988,1976,24,10.9538,3.585
"['education', 'dob', 'state', 'children', 'employment', 'accommodation', 'disease']",1988,1976,24,10.9538,3.585
"['gender', 'dob', 'state', 'children', 'number_vehicles', 'accommodation', 'disease']",1988,1976,24,10.9538,3.585
"['gender', 'dob', 'state', 'employment', 'number_vehicles', 'disease']",1988,1977,23,10.9534,3.4473
"['education', 'dob', 'state', 'employment', 'marital_status', 'disease']",1989,1978,22,10.9548,3.4594
"['education', 'dob', 'state', 'employment', 'number_vehicles', 'disease']",1989,1978,22,10.9548,3.4594
"['education', 'dob', 'state', 'marital_status', 'accommodation', 'disease']",1989,1978,22,10.9548,3.4594
"['education', 'dob', 'state', 'children', 'employment', 'marital_status', 'disease']",1989,1978,22,10.9548,3.4594
"['education', 'dob', 'state', 'children', 'marital_status', 'accommodation', 'disease']",1989,1978,22,10.9548,3.4594
"['education', 'dob', 'state', 'children', 'number_vehicles', 'accommodation', 'disease']",1989,1978,22,10.9548,3.4594
"['gender', 'dob', 'state', 'employment', 'number_vehicles', 'accommodation', 'disease']",1989,1978,22,10.9548,3.4594
"['gender', 'dob', 'state', 'children', 'employment', 'number_vehicles', 'disease']",1989,1979,21,10.9544,3.3088
"['education', 'gender', 'dob', 'state', 'disease']",1990,1980,20,10.9558,3.3219
"['education', 'dob', 'state', 'children', 'commute_time', 'disease']",1990,1980,20,10.9558,3.3219
"['dob', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1990,1980,20,10.9558,3.3219
"['education', 'dob', 'state', 'children', 'employment', 'number_vehicles', 'disease']",1990,1980,20,10.9558,3.3219
"['education', 'dob', 'state', 'children', 'employment', 'commute_time', 'disease']",1990,1980,20,10.9558,3.3219
"['dob', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1990,1980,20,10.9558,3.3219
"['dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1990,1980,20,10.9558,3.3219
"['gender', 'dob', 'state', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",1990,1980,20,10.9558,3.3219
"['dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1990,1980,20,10.9558,3.3219
"['education', 'dob', 'state', 'marital_status', 'number_vehicles', 'disease']",1991,1982,18,10.9568,3.1699
"['education', 'dob', 'state', 'children', 'marital_status', 'number_vehicles', 'disease']",1991,1982,18,10.9568,3.1699
"['education', 'dob', 'state', 'employment', 'number_vehicles', 'accommodation', 'disease']",1991,1982,18,10.9568,3.1699
"['education', 'dob', 'state', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1991,1982,18,10.9568,3.1699
"['gender', 'dob', 'state', 'employment', 'marital_status', 'accommodation', 'disease']",1991,1982,18,10.9568,3.1699
"['dob', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1991,1982,18,10.9568,3.1699
"['education', 'dob', 'state', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1991,1982,18,10.9568,3.1699
"['gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",1991,1982,18,10.9568,3.1699
"['dob', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1991,1982,18,10.9568,3.1699
"['dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1991,1982,18,10.9568,3.1699
"['dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1991,1982,18,10.9568,3.1699
"['education', 'gender', 'dob', 'state', 'children', 'disease']",1992,1984,16,10.9578,3.0
"['education', 'dob', 'state', 'number_vehicles', 'commute_time', 'disease']",1992,1984,16,10.9578,3.0
"['education', 'dob', 'state', 'commute_time', 'accommodation', 'disease']",1992,1984,16,10.9578,3.0
"['education', 'dob', 'state', 'employment', 'marital_status', 'accommodation', 'disease']",1992,1984,16,10.9578,3.0
"['education', 'dob', 'state', 'employment', 'number_vehicles', 'commute_time', 'disease']",1992,1984,16,10.9578,3.0
"['education', 'dob', 'state', 'employment', 'commute_time', 'accommodation', 'disease']",1992,1984,16,10.9578,3.0
"['gender', 'dob', 'state', 'marital_status', 'commute_time', 'accommodation', 'disease']",1992,1984,16,10.9578,3.0
"['education', 'dob', 'state', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",1992,1984,16,10.9578,3.0
"['education', 'dob', 'state', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",1992,1984,16,10.9578,3.0
"['gender', 'dob', 'state', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",1992,1984,16,10.9578,3.0
"['gender', 'dob', 'state', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1992,1984,16,10.9578,3.0
"['gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1992,1984,16,10.9578,3.0
"['gender', 'dob', 'state', 'number_vehicles', 'commute_time', 'disease']",1992,1985,15,10.9574,2.7899
"['gender', 'dob', 'state', 'children', 'number_vehicles', 'commute_time', 'disease']",1992,1985,15,10.9574,2.7899
"['gender', 'dob', 'state', 'employment', 'number_vehicles', 'commute_time', 'disease']",1992,1985,15,10.9574,2.7899
"['gender', 'dob', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",1992,1985,15,10.9574,2.7899
"['education', 'gender', 'dob', 'state', 'employment', 'disease']",1993,1986,14,10.9588,2.8074
"['gender', 'dob', 'state', 'marital_status', 'number_vehicles', 'disease']",1993,1986,14,10.9588,2.8074
"['education', 'dob', 'state', 'children', 'number_vehicles', 'commute_time', 'disease']",1993,1986,14,10.9588,2.8074
"['education', 'dob', 'state', 'children', 'commute_time', 'accommodation', 'disease']",1993,1986,14,10.9588,2.8074
"['education', 'dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'disease']",1993,1986,14,10.9588,2.8074
"['gender', 'dob', 'state', 'children', 'marital_status', 'number_vehicles', 'disease']",1993,1986,14,10.9588,2.8074
"['gender', 'dob', 'state', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1993,1986,14,10.9588,2.8074
"['education', 'dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1993,1986,14,10.9588,2.8074
"['education', 'dob', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",1993,1986,14,10.9588,2.8074
"['education', 'dob', 'state', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",1993,1986,14,10.9588,2.8074
"['education', 'dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1993,1986,14,10.9588,2.8074
"['gender', 'dob', 'state', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1993,1986,14,10.9588,2.8074
"['gender', 'dob', 'state', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1993,1986,14,10.9588,2.8074
"['education', 'dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1993,1986,14,10.9588,2.8074
"['gender', 'dob', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1993,1986,14,10.9588,2.8074
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'disease']",1994,1988,12,10.9598,2.585
"['education', 'dob', 'state', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1994,1988,12,10.9598,2.585
"['gender', 'dob', 'state', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1994,1988,12,10.9598,2.585
"['education', 'dob', 'state', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1994,1988,12,10.9598,2.585
"['gender', 'dob', 'state', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1994,1988,12,10.9598,2.585
"['education', 'gender', 'dob', 'state', 'number_vehicles', 'disease']",1995,1990,10,10.9608,2.3219
"['education', 'gender', 'dob', 'state', 'commute_time', 'disease']",1995,1990,10,10.9608,2.3219
"['education', 'gender', 'dob', 'state', 'accommodation', 'disease']",1995,1990,10,10.9608,2.3219
"['education', 'dob', 'state', 'marital_status', 'commute_time', 'disease']",1995,1990,10,10.9608,2.3219
"['education', 'gender', 'dob', 'state', 'employment', 'commute_time', 'disease']",1995,1990,10,10.9608,2.3219
"['education', 'dob', 'state', 'children', 'marital_status', 'commute_time', 'disease']",1995,1990,10,10.9608,2.3219
"['education', 'dob', 'state', 'employment', 'marital_status', 'commute_time', 'disease']",1995,1990,10,10.9608,2.3219
"['gender', 'dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'disease']",1995,1990,10,10.9608,2.3219
"['gender', 'dob', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1995,1990,10,10.9608,2.3219
"['education', 'dob', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",1995,1990,10,10.9608,2.3219
"['education', 'dob', 'state', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1995,1990,10,10.9608,2.3219
"['gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1995,1990,10,10.9608,2.3219
"['gender', 'dob', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1995,1990,10,10.9608,2.3219
"['gender', 'dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1995,1990,10,10.9608,2.3219
"['education', 'dob', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1995,1990,10,10.9608,2.3219
"['gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1995,1990,10,10.9608,2.3219
"['education', 'gender', 'dob', 'state', 'marital_status', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'gender', 'dob', 'state', 'children', 'marital_status', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'gender', 'dob', 'state', 'children', 'number_vehicles', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'gender', 'dob', 'state', 'children', 'commute_time', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'gender', 'dob', 'state', 'children', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'dob', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'dob', 'state', 'marital_status', 'commute_time', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'commute_time', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'dob', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'dob', 'state', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'dob', 'state', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'dob', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['gender', 'dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['gender', 'dob', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'dob', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'dob', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['gender', 'dob', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['gender', 'dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1996,1992,8,10.9618,2.0
"['education', 'gender', 'dob', 'state', 'employment', 'marital_status', 'disease']",1997,1994,6,10.9628,1.585
"['education', 'gender', 'dob', 'state', 'employment', 'accommodation', 'disease']",1997,1994,6,10.9628,1.585
"['education', 'gender', 'dob', 'state', 'number_vehicles', 'accommodation', 'disease']",1997,1994,6,10.9628,1.585
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'disease']",1997,1994,6,10.9628,1.585
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'accommodation', 'disease']",1997,1994,6,10.9628,1.585
"['education', 'gender', 'dob', 'state', 'employment', 'number_vehicles', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'marital_status', 'number_vehicles', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'marital_status', 'commute_time', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'marital_status', 'accommodation', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'number_vehicles', 'commute_time', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'commute_time', 'accommodation', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'number_vehicles', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'children', 'marital_status', 'number_vehicles', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'children', 'marital_status', 'commute_time', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'children', 'marital_status', 'accommodation', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'children', 'number_vehicles', 'commute_time', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'children', 'number_vehicles', 'accommodation', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'children', 'commute_time', 'accommodation', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'employment', 'marital_status', 'commute_time', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'employment', 'number_vehicles', 'commute_time', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'employment', 'commute_time', 'accommodation', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1998,1996,4,10.9638,1.0
"['education', 'gender', 'dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'employment', 'marital_status', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'employment', 'number_vehicles', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'marital_status', 'commute_time', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
"['education', 'gender', 'dob', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1999,1998,2,10.9648,-0.0
